date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:16:38	34903/34903	UR-MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2016%20Jan%202018%2021:16:15%20GMT	http://yoseph.com.br/wp-content/plugins/qtranslate-x/flags/gb.png	/home/boss/websites/Brazil%20f6s/yoseph.com.br/wp-content/plugins/qtranslate-x/flags/gb.png	(from http://yoseph.com.br/en/)
23:16:40	4258/4258	---M--	200	added ('OK')	image/png	etag:%2210a2-555a6e266a880%22	http://www.app-vruuum.com.br/assets/images/buttons/btn-app-store.png	/home/boss/websites/Brazil%20f6s/www.app-vruuum.com.br/assets/images/buttons/btn-app-store.png	(from http://www.app-vruuum.com.br/assets/css/styles.css)
23:16:40	0/0	UR-MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2016%20Jan%202018%2021:16:39%20GMT	http://yoseph.com.br/wp-content/uploads/revslider/home/fundo-topo.jpg	/home/boss/websites/Brazil%20f6s/yoseph.com.br/wp-content/uploads/revslider/home/fundo-topo.jpg	(from http://yoseph.com.br/en/)
23:16:42	5399/5399	---M--	200	added ('OK')	image/png	etag:%221517-555a6e26b1d20%22	http://www.app-vruuum.com.br/assets/images/buttons/btn-google-play.png	/home/boss/websites/Brazil%20f6s/www.app-vruuum.com.br/assets/images/buttons/btn-google-play.png	(from http://www.app-vruuum.com.br/assets/css/styles.css)
23:16:42	0/0	UR-MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2016%20Jan%202018%2021:16:42%20GMT	http://yoseph.com.br/wp-content/uploads/revslider/home/mao.png	/home/boss/websites/Brazil%20f6s/yoseph.com.br/wp-content/uploads/revslider/home/mao.png	(from http://yoseph.com.br/en/)
23:16:43	2288/2288	---M--	200	added ('OK')	image/png	etag:%228f0-555a6e25d2300%22	http://www.app-vruuum.com.br/assets/images/arrows/up-arrow-left.png	/home/boss/websites/Brazil%20f6s/www.app-vruuum.com.br/assets/images/arrows/up-arrow-left.png	(from http://www.app-vruuum.com.br/assets/css/styles.css)
23:16:44	2271/2271	---M--	200	added ('OK')	image/png	etag:%228df-555a6e25d7120%22	http://www.app-vruuum.com.br/assets/images/arrows/up-arrow-right.png	/home/boss/websites/Brazil%20f6s/www.app-vruuum.com.br/assets/images/arrows/up-arrow-right.png	(from http://www.app-vruuum.com.br/assets/css/styles.css)
23:16:44	34901/34901	UR-MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2016%20Jan%202018%2021:16:29%20GMT	http://yoseph.com.br/wp-content/uploads/2017/09/ic_logo_nav.png	/home/boss/websites/Brazil%20f6s/yoseph.com.br/wp-content/uploads/2017/09/ic_logo_nav.png	(from http://yoseph.com.br/en/)
23:16:48	33519/33519	---M--	200	added ('OK')	image/png	etag:%2282ef-555a6de991620%22	http://www.app-vruuum.com.br/assets/images/glow.png	/home/boss/websites/Brazil%20f6s/www.app-vruuum.com.br/assets/images/glow.png	(from http://www.app-vruuum.com.br/assets/css/styles.css)
23:16:49	13734/13734	---M--	200	added ('OK')	image/png	etag:%2235a6-555a6e230b400%22	http://www.app-vruuum.com.br/assets/images/android/android-black.png	/home/boss/websites/Brazil%20f6s/www.app-vruuum.com.br/assets/images/android/android-black.png	(from http://www.app-vruuum.com.br/assets/css/styles.css)
23:16:51	34923/34923	UR-MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2016%20Jan%202018%2021:16:44%20GMT	http://yoseph.com.br/wp-content/uploads/2017/09/DWS-2074-Startup-Badge-ALPHA-05-1.png	/home/boss/websites/Brazil%20f6s/yoseph.com.br/wp-content/uploads/2017/09/DWS-2074-Startup-Badge-ALPHA-05-1.png	(from http://yoseph.com.br/en/)
23:16:51	10932/10932	---M--	200	added ('OK')	image/png	etag:%222ab4-555a6e30096c0%22	http://www.app-vruuum.com.br/assets/images/ipad/ipad-black.png	/home/boss/websites/Brazil%20f6s/www.app-vruuum.com.br/assets/images/ipad/ipad-black.png	(from http://www.app-vruuum.com.br/assets/css/styles.css)
23:16:52	10093/10093	---M--	200	added ('OK')	image/png	etag:%22276d-555a6e30db620%22	http://www.app-vruuum.com.br/assets/images/ipad/ipad-white.png	/home/boss/websites/Brazil%20f6s/www.app-vruuum.com.br/assets/images/ipad/ipad-white.png	(from http://www.app-vruuum.com.br/assets/css/styles.css)
23:16:55	20272/20272	---M--	200	added ('OK')	image/png	etag:%224f30-555a6e3239f80%22	http://www.app-vruuum.com.br/assets/images/iphone/iphone-black-landscape.png	/home/boss/websites/Brazil%20f6s/www.app-vruuum.com.br/assets/images/iphone/iphone-black-landscape.png	(from http://www.app-vruuum.com.br/assets/css/styles.css)
23:16:57	20701/20701	---M--	200	added ('OK')	image/png	etag:%2250dd-555a6e345ecc0%22	http://www.app-vruuum.com.br/assets/images/iphone/iphone-white.png	/home/boss/websites/Brazil%20f6s/www.app-vruuum.com.br/assets/images/iphone/iphone-white.png	(from http://www.app-vruuum.com.br/assets/css/styles.css)
23:16:59	14058/14058	---M--	200	added ('OK')	image/png	etag:%2236ea-555a6e22f0e20%22	http://www.app-vruuum.com.br/assets/images/android/android-black-landscape.png	/home/boss/websites/Brazil%20f6s/www.app-vruuum.com.br/assets/images/android/android-black-landscape.png	(from http://www.app-vruuum.com.br/assets/css/styles.css)
